12,无,杜甫花园  | 7室2厅 | 268.26平米 | 东南 | 其他,高楼层(共5层)1999年建板楼  -  龙湾,距离7号线龙爪堰站1001米,房本满五年,杜甫花园ABC区 跃层带花园 七居室加阁物间,320万,单价11929元/平米
13,无,中海兰庭  | 4室1厅 | 89.2平米 | 南 | 其他 | 有电梯,中楼层(共32层)2008年建板塔结合  -  大源,无,无,中海兰庭 K户型 套四三卫 带装修 产权89送下来170房主自荐,428万,单价47983元/平米
14,无,万树森林一期  | 2室2厅 | 90.58平米 | 东北 | 其他 | 有电梯,低楼层(共11层)2008年建板楼  -  犀浦,距离2号线犀浦站332米,房本满五年,万树森林 自住装修套二 一梯两户 两面通透带平台花园,126万,单价13911元/平米
15,无,远大都市风景三期  | 3室2厅 | 128.46平米 | 东南 | 简装 | 有电梯,低楼层(共18层)2008年建板楼  -  远大,距离1号线天府五街站957米,无,远大都市风景三期，两梯两户，中装套三,217万,单价16893元/平米
16,无,和贵久居福  | 3室2厅 | 128.4平米 | 南 | 精装 | 有电梯,低楼层(共18层)2008年建板塔结合  -  航空港,无,房本满五年,和贵久居福套三，带装修，临河。,190万,单价14798元/平米
17,无,美宸东方  | 3室2厅 | 101平米 | 北 | 其他,高楼层(共18层)板塔结合  -  十陵,距离4号线西河站832米,无,美宸东方， 装修套三，  保养好,122万,单价12080元/平米
18,无,新里柏仕公馆  | 2室1厅 | 72.3平米 | 东南 | 其他 | 有电梯,低楼层(共32层)2011年建塔楼  -  东客站,距离2号线成渝立交站944米,无,新里柏仕公馆套二，开发商统一装修房主自荐,145万,单价20056元/平米
19,无,蜀郡又一城  | 3室1厅 | 100.1平米 | 西 | 精装,中楼层(共31层)2014年建塔楼  -  华阳,无,无,蜀郡又一城，套三单卫，小区环境干净舒适，适合居住,210万,单价20980元/平米
20,无,中海兰庭  | 3室1厅 | 97.26平米 | 南 | 其他 | 有电梯,中楼层(共24层)2008年建板塔结合  -  大源,无,房本满五年,中海兰庭，套三单卫，朝南，采光充足,238万,单价24471元/平米
21,无,金沙西园四期  | 2室2厅 | 87.76平米 | 南 | 精装 | 有电梯,中楼层(共26层)2009年建塔楼  -  金沙,距离4号线清江西路站464米,房本满五年,金沙西园四期 卧室带阳台 有家具家电,240万,单价27348元/平米
22,无,教育学院教师公寓  | 2室2厅 | 88.53平米 | 西南 | 简装,中楼层(共31层)2010年建塔楼  -  华西,距离1号线省体育馆站380米,房本满五年,教育学院+套二有装修+客厅带阳台+不临街,190万,单价21462元/平米
23,无,红枫岭二期  | 2室2厅 | 86.18平米 | 东南 | 其他 | 有电梯,高楼层(共33层)2009年建板塔结合  -  东郊记忆,距离7号线二仙桥站1178米,房本满五年,红枫岭二期 客厅有阳台 房东自住,145万,单价16826元/平米
24,无,建信奥林匹克花园  | 3室2厅 | 119.86平米 | 南 | 精装 | 有电梯,中楼层(共6层)2006年建板塔结合  -  光华大道沿线,距离4号线凤凰大街站527米,无,建信奥林匹克花园 装修套三 出售,140万,单价11681元/平米
25,无,颐和京都  | 2室1厅 | 82.15平米 | 东 | 其他,低楼层(共21层)2010年建塔楼  -  万家湾,无,房本满五年,颐和京都新上精装套二 满两年无增值税  采光好,148万,单价18016元/平米
26,无,蓝光圣菲town城  | 2室2厅 | 76.94平米 | 北 | 其他 | 有电梯,高楼层(共23层)2009年建塔楼  -  航空港,无,房本满五年,圣菲套二有装修，中高楼层，采光好，视野开阔,122万,单价15857元/平米
27,无,华润橡树湾B区  | 3室2厅 | 77.93平米 | 西北 | 其他,高楼层(共34层)2013年建板塔结合  -  橡树湾,无,无,橡树湾 套三双卫，有装修，中间楼层，产权满两年！,142万,单价18222元/平米
28,无,桐梓林欧城  | 2室2厅 | 87.76平米 | 南 | 精装 | 有电梯,中楼层(共21层)2009年建塔楼  -  桐梓林,距离1号线火车南站站703米,房本满五年,桐梓林欧城新上套二，全朝南，采光好，自住装修,255万,单价29057元/平米
29,无,摩卡筑  | 2室1厅 | 70.01平米 | 东北 | 精装,高楼层(共18层)2007年建板楼  -  川音,距离3号线新南门站1015米,房本满五年,摩卡筑 套二 带双阳台 不临街,182万,单价25997元/平米
,haskey,houseInfo,positionInfo,subway,taxfree,title,totalPrice,unitPrice
0,随时看房,锦绣森邻  | 4室2厅 | 175平米 | 东南 | 其他,高楼层(共8层)2008年建板塔结合  -  光华大道沿线,距离4号线涌泉站770米,无,锦绣森邻电梯顶跃带两个大露台  .,236万,单价13486元/平米
1,随时看房,和信孔雀天成  | 2室2厅 | 80.99平米 | 东南 | 其他,低楼层(共33层)2015年建塔楼  -  温江新城,距离4号线凤溪河站150米,无,和信孔雀城精装套二，带家具家电,119万,单价14694元/平米
2,随时看房,光华揽胜  | 2室2厅 | 82.93平米 | 南 北 | 其他,中楼层(共34层)2010年建板楼  -  光华泡小,无,无,光华揽胜 套二可变套三 客厅带阳台,220万,单价26529元/平米
3,随时看房,卓锦城六期  | 2室1厅 | 66.95平米 | 东南 | 其他 | 有电梯,高楼层(共31层)2014年建板塔结合  -  卓锦城,无,无,卓锦城  精装套二   带地暖,158万,单价23600元/平米
4,随时看房,鸿生花园  | 3室1厅 | 131.19平米 | 东南 | 其他,高楼层(共11层)2001年建板楼  -  府南新区,距离7号线金沙博物馆站908米,无,02年小区 鸿生 电梯套三 采光好 户型方正 看房方便,258万,单价19667元/平米
5,随时看房,新巢小区二期  | 1室1厅 | 60.92平米 | 东 | 简装 | 有电梯,中楼层(共7层)2005年建板楼  -  广福桥,距离3号线高升桥站778米,无,高升桥旁，跃层套一，适合年轻人居住,98万,单价16087元/平米
6,随时看房,优品道三期  | 2室1厅 | 88.37平米 | 南 | 其他,高楼层(共23层)2010年建板楼  -  优品道,距离7号线东坡路站409米,无,优品道三期套二带装修出售不临街,229万,单价25914元/平米
7,随时看房,园丁园  | 2室2厅 | 75.94平米 | 东南 | 其他,中楼层(共7层)2001年建板楼  -  双楠,距离3号线红牌楼站1081米,无,置信园丁园标准套二，不临二环，看房方便,128万,单价16856元/平米
8,随时看房,中华家园西区  | 3室2厅 | 149.11平米 | 南 | 其他,低楼层(共6层)2004年建板楼  -  西南财大,距离7号线东坡路站315米,无,中华家园西区 跃层出售 有花园,360万,单价24144元/平米
9,随时看房,电建地产美立方  | 2室1厅 | 59.31平米 | 东南 | 其他,中楼层(共29层)2015年建塔楼  -  理工大,无,无,15年的新房，水电地产国企，房子低中间楼层。,97万,单价16355元/平米
10,随时看房,万基兰御  | 2室1厅 | 66.76平米 | 东 | 其他,中楼层(共18层)2013年建板楼  -  金府,无,无,万基兰御  有装修 带家电家具 随时看房 看房接送,133万,单价19923元/平米
11,随时看房,欧洲印象  | 2室1厅 | 88.9平米 | 南 | 其他 | 有电梯,低楼层(共23层)2012年建板塔结合  -  航空港,无,无,中庭套二，不临街，清水房，可以改套三,130万,单价14624元/平米
12,随时看房,保利玫瑰花语  | 3室2厅 | 87平米 | 西 | 其他,低楼层(共32层)2016年建板楼  -  大面,无,无,套三双卫，户型方正，客厅带阳台,137.5万,单价15805元/平米
13,随时看房,光华苑一期  | 3室2厅 | 82平米 | 西南 | 其他,高楼层(共7层)2000年建板楼  -  草堂,距离4号线草堂北路站764米,无,光华苑优质套三出售，高楼层采光好,120万,单价14635元/平米
14,随时看房,佳兆业8号  | 3室2厅 | 91.96平米 | 南 | 其他,中楼层(共14层)2014年建塔楼  -  蛟龙港,无,无,佳兆业8号装修套3                         .,138万,单价15007元/平米
15,随时看房,东山国际新城E区  | 2室2厅 | 88.57平米 | 东南 | 毛坯,低楼层(共18层)2009年建板塔结合  -  东山,无,无,东山国际E区清水套二             .,100万,单价11291元/平米
16,随时看房,慧苑  | 2室1厅 | 74.05平米 | 西 北 | 其他,中楼层(共23层)2000年建板楼  -  驷马桥,距离3号线昭觉寺南路站666米,无,标准套二，有家具家电，有装修。,115万,单价15531元/平米
17,随时看房,名士公馆  | 2室2厅 | 96.5平米 | 西北 | 简装,中楼层(共11层)2003年建板楼  -  航空路,距离1号线桐梓林站699米,无,名士公馆中间楼层套二双卫安静， 朝北,200万,单价20726元/平米
18,随时看房,天府逸家一期  | 3室1厅 | 79平米 | 南 北 | 其他,低楼层(共41层)2015年建板楼  -  大面,无,无,天府逸家，精装套三 ，户型方正，采光视野好,127万,单价16076元/平米
19,随时看房,御城  | 2室2厅 | 72.43平米 | 东北 | 其他,低楼层(共26层)2009年建塔楼  -  新都城区,无,无,御城  清水套二   户型方正  厨房客厅带阳台,80万,单价11046元/平米
20,随时看房,华润幸福里二期  | 3室2厅 | 89平米 | 东南 | 其他,中楼层(共32层)2015年建板塔结合  -  川师,距离7号线四川师大站142米,无,幸福里二期套三单卫，客厅带阳台位置安静,231万,单价25956元/平米
21,随时看房,颐和家园  | 2室1厅 | 83.99平米 | 东 | 精装 | 有电梯,中楼层(共18层)2008年建板楼  -  SM广场,无,无,颐 和 家 园 标 准 大 套 二 优 质 户 型,172万,单价20479元/平米
22,随时看房,成都A区  | 3室1厅 | 95.76平米 | 东南 | 其他 | 有电梯,中楼层(共19层)2011年建板塔结合  -  高升桥,距离3号线高升桥站735米,无,成都A区    方正套三带家具家电出售,210万,单价21930元/平米
23,随时看房,东山国际新城E区  | 2室2厅 | 84.21平米 | 东南 | 其他 | 有电梯,中楼层(共18层)2009年建板塔结合  -  东山,无,无,东山国际新城Ｅ区看山套二有装修,118万,单价14013元/平米
24,随时看房,加贝书香尚品  | 2室2厅 | 78平米 | 东 | 其他 | 有电梯,低楼层(共15层)2007年建板楼  -  航空港,无,无,书香尚品 +标准套二+ 带独立餐厅,109万,单价13975元/平米
25,随时看房,金林俊景  | 3室2厅 | 88.11平米 | 西 | 其他,高楼层(共17层)2009年建板楼  -  五大花园,距离7号线龙爪堰站124米,无,中环路金林俊景套三有装修不临街,198万,单价22472元/平米
26,随时看房,恒大城一期  | 3室2厅 | 105.26平米 | 东南 | 其他,中楼层(共11层)2010年建板塔结合  -  温江新城,无,无,恒大城 精装 小高层 套三单卫,168万,单价15961元/平米
27,随时看房,橙花风景  | 2室2厅 | 89.32平米 | 北 | 其他,高楼层(共28层)2008年建塔楼  -  光华泡小,无,无,橙花风景新出套二 带书房 高楼层  采光 视野好,200万,单价22392元/平米
28,随时看房,东山国际新城D区  | 2室2厅 | 79.95平米 | 西南 西北 | 简装,高楼层(共11层)2011年建板塔结合  -  东山,无,无,套二装修房，客厅带阳台，小区环境舒适安静，绿化好,103万,单价12884元/平米
29,随时看房,天鹅湖北苑  | 2室1厅 | 64.07平米 | 南 | 其他,中楼层(共31层)2007年建板塔结合  -  新会展,距离1号线世纪城站260米,无,天鹅湖北苑套二，房东自住重新装修。,142万,单价22164元/平米
,haskey,houseInfo,positionInfo,subway,taxfree,title,totalPrice,unitPrice
0,无,龙门公寓  | 3室2厅 | 120.4平米 | 南 | 其他,中楼层(共6层)2003年建板楼  -  双楠,无,房本满五年,内双楠带装修套三双卫，大阳台，中间楼层，配套成熟,216万,单价17941元/平米
1,无,蓝光凯丽美域  | 3室2厅 | 121.52平米 | 东南 | 精装,低楼层(共31层)2010年建塔楼  -  金沙,距离4号线清江西路站408米,房本满五年,蓝光凯丽美域 标准套三双卫 对中庭 楼层好 居家装修,360万,单价29625元/平米
2,无,凯华丽景  | 3室2厅 | 95.98平米 | 南 | 其他,低楼层(共20层)2009年建板塔结合  -  四河,距离1号线四河站315米,房本满五年,凯华丽景 套三单卫 正朝南 有装修 不临街 带车位,185万,单价19275元/平米
3,无,白马后巷20号  | 2室2厅 | 99.2平米 | 南 | 其他,低楼层(共7层)板楼  -  花牌坊,无,房本满五年,白马后巷20号+低楼层套二+府南河边,150万,单价15121元/平米
4,无,凯丽豪景  | 3室2厅 | 118.6平米 | 西南 | 其他,中楼层(共32层)2008年建板楼  -  一品天下,距离2号线蜀汉路东站561米,房本满五年,凯丽豪景双卫套三，双阳台，对中庭,330万,单价27825元/平米
5,无,汇融悉尼湾达令港  | 2室2厅 | 68.58平米 | 南 | 其他 | 有电梯,低楼层(共32层)2013年建塔楼  -  大丰,无,无,达令港装修两房！楼层好！朝南！,95万,单价13853元/平米
6,无,鸿阁新座  | 2室1厅 | 58.88平米 | 东 | 其他,低楼层(共29层)2013年建板塔结合  -  四河,距离1号线四河站91米,无,鸿阁新座 套二 有装修            ·,140万,单价23778元/平米
7,无,实久花园  | 3室2厅 | 100.7平米 | 南 | 其他,中楼层(共11层)2000年建板楼  -  郫县万达,无,房本满五年,实久花园   装修套三  居家装修,99万,单价9832元/平米
8,无,华润橡树湾A区  | 3室2厅 | 57.79平米 | 东南 | 简装 | 有电梯,高楼层(共34层)2013年建板塔结合  -  橡树湾,无,无,华润橡树湾+套三+带装修、家具家电,125万,单价21631元/平米
9,无,金座蓉城胜景  | 3室2厅 | 95.41平米 | 东南 | 其他,低楼层(共15层)2014年建暂无数据  -  东升镇,无,无,蓉城胜景套三带装修 家具家电全带,120万,单价12578元/平米
10,无,守经街6号  | 2室1厅 | 63.83平米 | 南 | 其他,中楼层(共6层)暂无数据  -  八宝街,距离1号线文殊院站662米,房本满五年,八宝街旁边中间楼层套二不临街安静！,130万,单价20367元/平米
11,无,红枫岭二期  | 2室2厅 | 88平米 | 西北 | 其他,低楼层(共33层)2009年建塔楼  -  东郊记忆,无,房本满五年,红枫岭二期 精装套二  全对中庭,160万,单价18182元/平米
12,无,泰来小区  | 4室2厅 | 112平米 | 南 北 | 其他,高楼层(共7层)1998年建板楼  -  驷马桥,无,房本满五年,泰来小区 套三 采光好 视野佳,125万,单价11161元/平米
13,无,万科金域蓝湾一期  | 2室1厅 | 83.84平米 | 东 | 精装,低楼层(共35层)2009年建板楼  -  建设路,无,房本满五年,万科物业，卧室有阳台，看房方便。,210万,单价25048元/平米
14,无,合能耀之城  | 2室1厅 | 63.05平米 | 南 | 其他,中楼层(共18层)2010年建塔楼  -  SM广场,无,无,全朝南套二，位置安静，采光好.,155万,单价24584元/平米
15,无,东较场街73号  | 4室2厅 | 148.98平米 | 西北 北 | 其他,低楼层(共7层)2000年建板塔结合  -  红星路,距离3号线市二医院站712米,房本满五年,东较场街73号套四改套三，坐南朝北,223万,单价14969元/平米
16,无,江华社区  | 1室1厅 | 60.54平米 | 南 | 其他,中楼层(共6层)2000年建板塔结合  -  十陵,无,房本满五年,江华社区精装套一.......,68万,单价11233元/平米
17,随时看房,天空城  | 2室2厅 | 86.4平米 | 东南 | 精装,中楼层(共28层)2010年建板楼  -  万年场,距离7号线崔家店站395米,无,居家套二，户型方正，中上楼层，东南向,169万,单价19561元/平米
18,无,嘉楠美地  | 3室2厅 | 84.59平米 | 南 | 其他 | 有电梯,高楼层(共18层)2014年建板楼  -  草金立交,无,无,三室俩厅，户型方正，精装修，视野开阔,175万,单价20689元/平米
19,无,劲力蓝色理想  | 2室1厅 | 87平米 | 南 | 其他,高楼层(共33层)2006年建板塔结合  -  航天,无,房本满五年,装修套二 进门带入户花园 客厅带阳台 东南朝向,106万,单价12184元/平米
20,无,蓝光圣菲town城  | 3室2厅 | 109平米 | 西北 | 其他,低楼层(共22层)2009年建塔楼  -  航空港,无,无,圣菲双阳台套三  带入户  装修很不错房主自荐,205万,单价18808元/平米
21,无,上河新城  | 4室2厅 | 173.06平米 | 西北 | 其他,低楼层(共8层)2005年建塔楼  -  草市街,距离1号线文殊院站718米,房本满五年,上河新城 四室两厅三卫 采光好 安静不临街,230万,单价13291元/平米
22,无,玲珑郡  | 2室1厅 | 63.22平米 | 南 | 简装,低楼层(共9层)2012年建板楼  -  簇桥,无,无,玲珑郡 有装修  标准套二 朝南的临街,120万,单价18982元/平米
23,无,川大竹林村  | 3室2厅 | 76.35平米 | 东北 | 简装,中楼层(共7层)2000年建板塔结合  -  川大,无,无,川大竹林村，位于小区中间位置，楼层适中，安静采光好,230万,单价30125元/平米
24,无,一品天下C区  | 2室2厅 | 83.83平米 | 东南 | 其他 | 有电梯,中楼层(共9层)2007年建塔楼  -  一品天下,距离2号线一品天下站471米,房本满五年,一品天下C区 2室2厅 149万,149万,单价17775元/平米
25,无,蓝光富丽花城  | 3室2厅 | 113.37平米 | 南 | 其他,高楼层(共18层)2008年建板楼  -  动物园,无,无,富丽花城 装修大套三双卫带家具家电随时看房,185万,单价16319元/平米
26,无,东林城市花园  | 1室1厅 | 56.7平米 | 东南 | 其他,高楼层(共17层)2008年建塔楼  -  动物园,无,房本满五年,东林城市花园，一个环境舒适的地方新上,92万,单价16226元/平米
27,无,富丽东方  | 2室1厅 | 77.63平米 | 南 | 其他,低楼层(共18层)2008年建塔楼  -  成渝立交,无,房本满五年,标准套二，有装修，有入户花园！,170万,单价21899元/平米
28,无,武海中华锦绣  | 2室1厅 | 85.5平米 | 东南 | 精装,高楼层(共15层)2011年建板楼  -  草金立交,无,房本满五年,中华锦绣套二改套三 有阳台 有装修,160万,单价18714元/平米
29,无,博瑞都市花园  | 3室1厅 | 120.35平米 | 东 西 | 其他,高楼层(共6层)2003年建板楼  -  优品道,距离7号线东坡路站656米,房本满五年,博瑞都市花园，套三双卫带阳台，不临街,320万,单价26590元/平米
,haskey,houseInfo,positionInfo,subway,taxfree,title,totalPrice,unitPrice
0,无,蜀都花园  | 3室2厅 | 122.17平米 | 南 | 其他,高楼层(共18层)2003年建板楼  -  水碾河,无,无,二环内，家乐福旁，蜀都花园套三双卫带车位+10万。,283万,单价23165元/平米
1,无,蓝光郁金香花园广场  | 1室1厅 | 58.91平米 | 东南 | 其他,高楼层(共12层)2006年建板楼  -  合江亭,距离2号线春熙路站218米,房本满五年,东大街下东大街段，蓝光郁金香，带家具家电。,130万,单价22068元/平米
2,无,蓝光金楠府  | 3室1厅 | 100.4平米 | 东南 | 其他 | 有电梯,高楼层(共16层)2013年建塔楼  -  五大花园,无,无,此房是金楠府标准套三的户型，户型方正，居家舒适.,240万,单价23905元/平米
3,无,富丽东方  | 2室1厅 | 79平米 | 南 | 其他,中楼层(共33层)2008年建塔楼  -  成渝立交,无,房本满五年,富丽东方套二，居家装修，客厅侧带阳台,167万,单价21140元/平米
4,无,香木林花园  | 2室2厅 | 80.77平米 | 南 | 其他,中楼层(共6层)2002年建板楼  -  八里小区,无,房本满五年,东二环八里小区 香木林花园 中楼层套二,145万,单价17953元/平米
